,file,speaker,sentence,lang
0,citizen_sub_8a17a,LETTER,: Roland HakimLe CA est composé de 8 personnesle projet est assujetti au BAPEL’étude sur la qualité de l’airCongestion vs.,fr
1,citizen_sub_8a17a,LETTER,Pollution Donc pour les autobus : Donc le gain de temps pour les autobus est de 6’ à 5’ 30 ‘’ soit ½ minute Soit une économie de ½’ x $2Million / 3’ = 333 332 $/an pour les 2 089 bus et 250 j/an,fr
2,citizen_sub_8a17a,LETTER,"Soit 0,64 cents/jour/passage de busEt pour les autres véhicules : Ralentissement des véhicules de 2’ 20’’ à 6’ Les véhicules vont donc prendre 3’ 40’’ de plus pour traverser le quartier, soit : Consommation et pollution dues au ralentissement : Autos minutes consom/min Consom, l Nbre d'autos aller 10 160 3,67 0,02 745,07 ltr/j",fr
3,citizen_sub_8a17a,LETTER,"retour 10 103 3,67 0,02 740,89 ltr/j 1 485,95 j/an kg CO2 250 2,4 ltr/j 371 488,33 ltr/an 891,57 TCO2/anL’étude de la qualité de l’air",fr
4,citizen_sub_8a17a,LETTER,"Le tableau 7.1 indique une diminution de trafic de 15%Et le tableau 7.2 indique une diminution conséquente des polluants allant jusqu'à 8%,.",fr
5,citizen_sub_8a17a,LETTER,. la conduite discontinue en ville nécessite environ de 20 à 65 % de carburant de plus que la conduite fluide sur routeLe nombre d’autobus que certains avançaient et questionnaient 389 391 780 2 2 778 782 1560Mouvements autobus véhicules en provenance de la Rive‐Sud de MontréalCompilation des mouvements véhiculaires du RTL et de l'AMT sur l'ensemble d'une journée typique de l'automne 2009Compilation des mouvements véhiculaires de la STM sur l'ensemble d'une journée typique de l'hiver 2010« . .,fr
6,citizen_sub_8a17a,LETTER,les futurs bâtiments prévus dans l’îlot central….,fr
7,citizen_sub_8a17a,LETTER,serviraient d’écrans partiels à la diffusion latérale des polluants émis par la voie réservée aux autobus.,fr
8,citizen_sub_8a17a,LETTER,»Quand on a un Metro qui dessert déjà la rive sud . . .,fr
9,citizen_sub_8a17a,LETTER,Exploitons-le d’avantage.,fr
10,citizen_sub_8a17a,LETTER,"réalisation de l’un des projets les plus indéniablement audacieux, ambitieux et prestigieux que Montréal ait connu».",fr
11,citizen_sub_8a17a,LETTER,"Dans la Synthèse des études de l’avant-projet détaillé de mars 2009, Madame Hudon écrivait:Un petit calcul pour un grand projet!",fr
12,citizen_sub_8a17a,LETTER,"Bus Rames aller /jour /hr pnte 2089 500 15 15 139 33 2 2 70 17 60 min/Rame 3,6 2Le",fr
13,citizen_sub_8a17a,LETTER,nombre de voies futuresLe CN a une implication « relativement marginale »Une structure en tunnel de +150mCe n’est pas une implication « relativement marginale » C’est le talon d’Achille de ce projet.,fr
14,citizen_sub_8a17a,LETTER,Audit de sécuritéContradiction?Audit de sécuritéIlot William /St‐MauriceIlot,fr
15,citizen_sub_8a17a,LETTER,compte des terrains dégagés par l’autoroute et que SHM veut vendre par rapport à ceux qu’il faudra exproprier ou acquérir pour le corridor Dalhousie.,fr
16,citizen_sub_8a17a,LETTER,À exproprier Ilot Brennan/Well Ilots Will/StMaur,fr
17,citizen_sub_8a17a,LETTER,À vendre 38 732 3C-15 16 792 68 426 3C-16 60 278,fr
18,citizen_sub_8a17a,LETTER,Autres 5 000 3C-18 46 823 différence Total,fr
19,citizen_sub_8a17a,LETTER,Total 300 $ 3 520 500L’ilot de la commune est occupé par le service de la voirie!,fr
20,citizen_sub_8a17a,LETTER,Sa vente n’est pas liée à ce projet.,fr
21,citizen_sub_8a17a,LETTER,"Les édifices suivants ne sont même pas mentionnés :New City Gaz, l’édifice Rodier (Baron sport) et le presbytère.",fr
22,citizen_sub_8a17a,LETTER,"Le corridor Dalhousie fait partie du projetPhoto du viaduc du CN sur Wellington prise de la présentation générale de la SHMHumide et mal éclairé!Jolie photo présentée par la SHMAccès au TCV en période de pointe« Quand j’ai entendu, … qu’il fallait protéger Dalhousie et ses résidents, je suis devenue folle »,André Bouthillier, porte parole de la SHM, declare que le nouveau corridor controverser des autobus est graver dans la pierre.",fr
